Review,Label
"Two days ago, Christopher Nolan released his newest addition to his batting average. This is a man who started with Memento, allegedly raised funds for Batman Begins by touring and taking that movie on tour, cleansed his comic-palate with Prestige, swung hard again with The Dark Knight, and now brings us Inception. It doesn't take long to notice a heavy-hitter with that kind of consistency in making great movies, and so when a completely original idea roots into our minds _ shared dreaming _ I trust him with pruning and nurturing that idea to completion. This is the new Memento/Prestige.If you haven't seen the movie, go see it at a theatre with dang good speakers. Few movies these days persuade me to spend the $14.50 _ $18.00 it takes to get my wife and I out to the show. This one did. What follows is a low-shelf literary analysis of the entire flick, so I'm assuming if you continue to read, you have watched the movie in its entirety, and are okay with reading intimate details about the plot. I'm not responsible for spoiling the ending, so consider yourself warned!http://literating.wordpress.com/2010/07/18/inception-nolans-inferno/",1
"Anybody else wondering what was up with the snow trooper stuff? I understand it's purpose for the story, but why? Why take an interesting engaging story and transform it into an action movie for the last 40 minutes. So many things they could have done with CGI in those final minutes. I wanted to be amazed but instead they went with trip ropes on skis and gun fights. Really??? By the time I yawned through these scenes there was little time left to really build tension for the end and I forgot that I cared. I wish they would have focuses on Leo's character and explored the ""limbo"" more. This is my least favorite Nolan movie and the sad thing is it's very good on many levels. Too bad they took the easy way out instead of coming up with an imaginative way to end this. I have to believe Nolan can dream up something better than stormtroopers on skis.",1
"The best movies are ones that touch the soul. It takes a movie like The Shawshank Redemption to touch the soul. Shawshank Redemption was my favorite movie when I first saw it, and I only realized its weakness later, this movie will look a lot worst the second time you watch it with its mysteries revealed and questions fully answered because one of the great qualities of this movie is its impossibility to guess which direction the story will take until it reaches the end. However, the movie celebrates the determination of the human spirit ""There's something inside you that they can't get to, that they can't touch. It's yours.",1
One of the best movies that everyone should see it.,1
"well...you normally don't find these types of movie all the time. In Shawshank you can see Tim Robbins at his best when compared to other movies...goes hand in hand with the plot...nd totally suits the Character to be resembled in the movie.Well this must be the best of Morgan Freeman..and as the movie reaches its climax it makes one more curious. As the movie moves towards its ending it thickens more involving one into it. Perfect plot , awesome Direction. The movie includes all it needs to show about prison life like violence and hopelessness of a life behind bars.Final ending is not at all predictable which forms a shocking climax.The Shawshank Redemption is all about hope and, because of that, watching it is both uplifting, exciting and cathartic.This movie would always stay on the Top in my List.",1
"Well, not always, but THIS prison is awesome. I've been to real prison in Ireland and England and spent a few months in jail in southern France. Not long terms, mind you but enough to get a good first hand understanding of what life is like behind bars. If I had to be locked up for 20 years I don't think I'd mind being in Shawshank. You make lifelong friends, get a little beatdown action with the guards, drink some tasty cold brews on the roof with your buds, build a library, listen to Italian opera and go to movies with the guys, dig holes for escaping. It's the schit. Shawshank fukken rocks bro. This is possibly the best film I've ever seen. I hope if I ever go back to prison (and chances are good) I hope it's exactly like Shawshank, only I'd want to have some chicks so it would be like a co-ed prison. Maybe a chick warden too. Mmmm. Yummy wild ass prison bictches. Haha bro. I'm actually looking forward to my next incarceration.",1
This movie is fantastic. The cast was amazing and heath alone would make this film an 8/10. Cinematography and action had improved greatly from Batman begins. Just watch it.,1
"Just a awesome movie. Christopeher Nolan is a talented director. With batman begins,he created such a fantastic atmosphere that he brought batman character back in game. With the dark knight, he made not only a great second sequel, but also one of the best movies of the past 10 years. He mixed action, heroism, feeling, literature, colors so well that you feel kind of high when the movie ends. There is no doubt about it. But i see some people who don't mind to compare this movie with some old masterpieces and say the dark knight is the best movie so far.Haha, this is completely unacceptable.Let me clear this: If a movie can bring freshness to creativity, If a movie happens to change your insights, If a movie starts a new genre, gives away new techniques and styles, If a movie makes you understand your heart better; then I call that movie a masterpiece. As far as I see, The Dark Knight is far from it. But I still feel like I have to congratulate Christopher Nolan for making such a good film. Thanks...",1
"Nolan has done it again. This is a roller coaster of a movie, but a roller coaster you last rode possibly when you saw Memento, but this is a million times more breath taking than that last one. That last one was for the most part camera works and cinematic deception. This is an extremely complex maze, that gets built in your mind layer by layer as you sit through this movie. If you try to understand everything in this movie while watching it, you are guaranteed to feel tired at the end of it, spent for the day. Do not treat this is as a date movie, no matter how big a genius you are. Be warned, for you will not get laid the night you watch this for the first time. No amount of head work in your life could have possibly prepared you for this journey. This movie is awesome to the power of infinity.Everything is awesome, I cannot use any language to explain the greatness of the director so I will not attempt, but acting, special effects all that fit with each other like Lego blocks. I believe Leonardo helps a great deal in Nolan achieving his goals, but every single actor and their performance is top notch. In an extremely complex and extra-ordinary setting, Nolan with the help of his pawns the actors and the special effects, manages to drive a strong plot. It is too much greatness anyone ever attempted to put in a single movie and managing to do so successfully is no mean feat. I won't wait for Nolan's next movie. I will watch Inception again and again.(I saw the IMAX version)",1
"I went into this movie expecting one of the best movies of all time. However, that is not what I saw. The runtime is extremely long and I found myself checking the time several times throughout the film. It was an interesting film to see, but it definitely does not belong on a list with the likes of ""Shawshank"" or ""Godfather"". The story was very confusing.There seemed to be plot holes and loose story lines that were never really tied up. The concept of the film is very intriguing and you will leave the theater wondering what it was all about. However, the atmosphere of some of the scenes felt very similar to Shutter Island for me. I almost felt like Leonardo DiCaprio did not really have to act much as he was basically playing a character similar to that of Teddy Daniels. Hope he isn't going to spend the rest of his career playing that same character. It was also nice to see Ellen Page in something besides Juno. She can be more than a snarky, pregnant teenager. Also, The visual effects are extremely well-done.I am not a fan of Nolan's work. The Dark Knight was a film that I could never understand why there was so much hype. It was average to me, at best. Inception, however, is much better than Memento.It is a film that you must see just because the concept is very interesting, but it is not something that you can watch over and over again.",1
"Tim Robbins is wealthy banker ""Andy Dufresne"" who finds himself sentenced to life imprisonment after his wife and her lover are found murdered. The handsome ""new fish"" is initially the target of the ""sisters"" who would use him as they would like - but he fights back and gradually establishes a friendship with prison ""scrounger"" Morgan Freeman (""Red""). When he overhears the beastly prison guard captain bemoaning some tax problems, he, rather riskily, volunteers to help find a tax-free solution and is soon advising pretty much the whole place - including ""Warden Norton"" (Bob Gunton) on all things financial - some above board, some less so. The film is set over a period of over ten years, and depicts some of the most brutal aspects of prison life; but also some it's more hopeful. It deals with violence and desperation but also of bonding and lasting friendships and loyalties that long term close-confinement engender. Frank Darabont elicits the best from his three principals superbly, with added venom provided by guard captain Clancy Brown and humanity from prison librarian James Whitmore - one of the few who actually does make parole. The last half hour is up there with the best cinema has ever had to offer, and this - again on a big screen - is a must see adaptation of one of Stephen King's lesser known, but better, stories that delivers a redemption never, quite, anticipated by the prison service!",1
"Simply Amazing, life-changing, and inspiring. The plot is twisted and intriguing, making it highly desirable to re-watch. By showing the numb minds of our present state, it shows how we should awake from our slumber which is fruitful. When I first watched the movie on cable TV, I was young and although my shortage of age and experience, I benefited a lot from the story-line. I was inspired even more in my ambition to become an author and thus worked harder in my efforts. The nature and setting of it is one of a kind, despite my long period of watching movies, i haven't come across one with so much thrill and zeal. So in the end I strongly recommend it to be watched and enjoyed but with meticulous attention.",1
This film stands out as arguably the best of the trilogy and I cannot agree more. Powerful performance by Ledger as The Joker.,1
"Great cast, so much fun to watch and rewatch. Trying to figure out the movie with your friends and checking out the many online theories was a great memorable experience. And it tells you how deep the movie goes, making you uncertain of what you see is somehow real... or if it was all a dream.",1
